LECROYWP740Zi,51411,Waveform
Segments,1,SegmentSize,40002
Segment,TrigTime,TimeSinceSegment1
#1,08-Sep-2023 18:33:46,0                 
Time,Ampl
1.71195e-06,-0.01755105
1.712e-06,-0.01808875
1.71205e-06,-0.01750969
1.7121e-06,-0.01632399
1.71215e-06,-0.0153451
1.7122e-06,-0.01482119
1.71225e-06,-0.01458681
1.7123e-06,-0.01472468
1.71235e-06,-0.01538646
1.7124e-06,-0.01607582
1.71245e-06,-0.01589659
1.7125e-06,-0.01473847
1.71255e-06,-0.013732
1.7126e-06,-0.01402153
1.71265e-06,-0.01538646
1.7127e-06,-0.01639293
1.71275e-06,-0.01613097
1.7128e-06,-0.01516587
1.71285e-06,-0.01457302
1.7129e-06,-0.01479362
1.71295e-06,-0.01538646
1.713e-06,-0.01578629
1.71305e-06,-0.0157725
1.7131e-06,-0.01553812
1.71315e-06,-0.01535889
1.7132e-06,-0.01542782
1.71325e-06,-0.01575872
1.7133e-06,-0.01619991
1.71335e-06,-0.01647565
1.7134e-06,-0.01632399
1.71345e-06,-0.01573114
1.7135e-06,-0.01504178
1.71355e-06,-0.0148074
1.7136e-06,-0.01526238
1.71365e-06,-0.01608961
1.7137e-06,-0.01659973
1.71375e-06,-0.01646186
1.7138e-06,-0.01602067
1.71385e-06,-0.01595174
1.7139e-06,-0.01650322
1.71395e-06,-0.01716501
1.714e-06,-0.01722016
1.71405e-06,-0.01655837
1.7141e-06,-0.01581387
1.71415e-06,-0.0155657
1.7142e-06,-0.01568978
1.71425e-06,-0.01560706
1.7143e-06,-0.01513829
1.71435e-06,-0.01473847
1.7144e-06,-0.01476604
1.71445e-06,-0.01494527
1.7145e-06,-0.01490391
1.71455e-06,-0.01498664
1.7146e-06,-0.01563463
1.71465e-06,-0.01643429
1.7147e-06,-0.01639293
1.71475e-06,-0.01544161
1.7148e-06,-0.01465574
1.71485e-06,-0.01494527
1.7149e-06,-0.01596552
1.71495e-06,-0.01664109
1.715e-06,-0.01644807
1.71505e-06,-0.01585523
1.7151e-06,-0.01542782
1.71515e-06,-0.01517966
1.7152e-06,-0.01505557
1.71525e-06,-0.01517966
1.7153e-06,-0.01562085
1.71535e-06,-0.01600689
1.7154e-06,-0.01591038
1.71545e-06,-0.0155657
1.7155e-06,-0.01555191
1.71555e-06,-0.01586901
1.7156e-06,-0.01592416
1.71565e-06,-0.0154554
1.7157e-06,-0.01506936
1.71575e-06,-0.01531753
1.7158e-06,-0.01589659
1.71585e-06,-0.01596552
1.7159e-06,-0.01531753
1.71595e-06,-0.01462817
1.716e-06,-0.01462817
1.71605e-06,-0.01530374
1.7161e-06,-0.01597931
1.71615e-06,-0.0161034
1.7162e-06,-0.01581387
1.71625e-06,-0.01568978
1.7163e-06,-0.0158828
1.71635e-06,-0.0159931
1.7164e-06,-0.01566221
1.71645e-06,-0.01501421
1.7165e-06,-0.01447651
1.71655e-06,-0.01438
1.7166e-06,-0.01466953
1.71665e-06,-0.01498664
1.7167e-06,-0.015028
1.71675e-06,-0.01505557
1.7168e-06,-0.01559327
1.71685e-06,-0.01644807
1.7169e-06,-0.0167376
1.71695e-06,-0.01626884
1.717e-06,-0.01582765
1.71705e-06,-0.01602067
1.7171e-06,-0.01635156
1.71715e-06,-0.01596552
1.7172e-06,-0.01512451
1.71725e-06,-0.0148074
1.7173e-06,-0.01537268
1.71735e-06,-0.01604825
1.7174e-06,-0.01600689
1.71745e-06,-0.01551055
1.7175e-06,-0.01551055
1.71755e-06,-0.01628263
1.7176e-06,-0.01701335
1.71765e-06,-0.01688926
1.7177e-06,-0.01604825
1.71775e-06,-0.01544161
1.7178e-06,-0.0155657
1.71785e-06,-0.01591038
1.7179e-06,-0.01578629
1.71795e-06,-0.01527617
1.718e-06,-0.01505557
1.71805e-06,-0.01540025
1.7181e-06,-0.01585523
1.71815e-06,-0.01602067
1.7182e-06,-0.0159931
1.71825e-06,-0.01584144
1.7183e-06,-0.01551055
1.71835e-06,-0.01516587
1.7184e-06,-0.01530374
1.71845e-06,-0.01591038
1.7185e-06,-0.01608961
1.71855e-06,-0.01519344
1.7186e-06,-0.01409047
1.71865e-06,-0.01432485
1.7187e-06,-0.01592416
1.71875e-06,-0.01716501
1.7188e-06,-0.01662731
1.71885e-06,-0.01494527
1.7189e-06,-0.0138423
1.71895e-06,-0.0139526
1.719e-06,-0.01444894
1.71905e-06,-0.01457302
1.7191e-06,-0.01458681
1.71915e-06,-0.01495906
1.7192e-06,-0.01542782
1.71925e-06,-0.01552433
1.7193e-06,-0.01533131
1.71935e-06,-0.0154554
1.7194e-06,-0.01613097
1.71945e-06,-0.01686169
1.7195e-06,-0.01697199
1.71955e-06,-0.01637914
1.7196e-06,-0.0155657
1.71965e-06,-0.01501421
1.7197e-06,-0.01475225
1.71975e-06,-0.01461438
1.7198e-06,-0.01465574
1.71985e-06,-0.015028
1.7199e-06,-0.0155657
1.71995e-06,-0.01575872
1.72e-06,-0.0153451
1.72005e-06,-0.01494527
1.7201e-06,-0.01524859
1.72015e-06,-0.01607582
1.7202e-06,-0.01651701
1.72025e-06,-0.01606203
1.7203e-06,-0.01513829
